Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription
BPCUSTOMER,BPC,Customers,Common Data,,"Common data,Customer relation,Sales","Item,Business Partner,Service request,Service contract,Service response,Installed Base,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns,Sales Price","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , SFOOTINV  (Invoicing elements  ) , BANK  (Bank accounts  ) , TABUNAVAIL  (Unavailable periods  ) , TABVACBPR  (BP tax rule table  ) , TABPAYTERM  (Payment term table  ) , GDIAACC  (Account scheme header  ) , FACTOR  (Factors  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPCCATEG  (Customer category  ) , FUPGRP  (Reminder groups  ) , SALESREP  (Sales rep  ) , TABINVCND  (  ) , TABPRTMOD  (Print template table  ) , CONTTEMPL  (Service contract template  )"
BPEXCEPT,BPE,BP-Company exception,Common Data,MUL,Common data,Business Partner,"COMPANY  (Company  ) , GACCCODE  (Accounting codes  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , TABVACBPR  (BP tax rule table  ) , TABPAYTERM  (Payment term table  ) , TABDEPAGIO  (Early discount/late charge table  )"
BPMISC,BPM,Order-giver/miscellaneous BP,Common Data,,,,BPARTNER  (Business partner  )
BPMISCCGF,BPG,Miscellaneous BP configuration,Common Data,,,,
BPS1099GEN,B9G,1099 generation,Financials,S1099,,,"COMPANY  (Company  ) , BPSUPPLIER  (Suppliers  )"
BPS1099MNT,B9M,Supplier 1099 maintenance,Financials,S1099,,,"COMPANY  (Company  ) , BPSUPPLIER  (Suppliers  )"
BPS1099PAY,B9P,Supplier 1099 payments,Financials,S1099,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPSUPPLIER  (Suppliers  )"
BPSHISUPLN,BSL,Ship-to addresses,Common Data,,,,"COMPANY  (Company  ) , BPARTNER  (Business partner  )"
BPSHISUPP,BSS,Shipping site suppliers,Common Data,,,,"BPARTNER  (Business partner  ) , TABUNAVAIL  (Unavailable periods  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  )"
CONTACT,CNT,Contacts,Supervisor,,Common data,"Company and Sites,Business Partner","ATABDIV  (Miscellaneous tables  ) , CONTACTCRM  (Contact relationships  )"
BPSINVLIG,PIL,Supplier invoice lines,A/P-A/R accounting,,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , PJMCOSTCTR  (  ) , RITENZIONE  (Table of withholding codes  )"
TABCOUAFF,TCA,Sequence No assignments,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , COMPANY  (Company  )"
BPSINVLIGA,PIA,Customer analytical line,A/P-A/R accounting,,,,"CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
TABFOR,TFO,Formula table,Supervisor,,Common data,Common Tables,"ATABDIV  (Miscellaneous tables  ) , TABFOR  (Formula table  )"
BPSUPPLIER,BPS,Suppliers,Common Data,,"Common data,Manufacturing,Purchasing","Item,Business Partner,Manufacturing Orders,Purchase Requests,Request For Quotations,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,Purchase Price,External Orders","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , BANK  (Bank accounts  ) , TABUNAVAIL  (Unavailable periods  ) , TABVACBPR  (BP tax rule table  ) , CADSP  (Analytical allocations  ) , TABPAYTERM  (Payment term table  ) , GDIAACC  (Account scheme header  ) , HONPRV  (Service suppliers  ) , RITENZIONE  (Table of withholding codes  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPSCATEG  (Supplier category  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , MATCHTOL  (Matching tolerance  ) , PFOOTINV  (Purchase invoicing elements  ) , TABPRTMOD  (Print template table  )"
TABFORLEG,TFOLEG,Formulas per legislation,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , TABFORLEG  (Formulas per legislation  )"
BPSUPPMVT,MVS,Supplier transactions,Common Data,,Common data,Business Partner,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  )"
BRDKEY,BRD,Distribution key,Fixed Assets,,,,
BUD,BUD,Budget table,Financials,,Accounting,"Budgets,Operating Budgets","TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GLED  (Ledger  ) , BUDPAR  (Budget setup  ) , BUDVER  (Budget versions  )"
BUDREV,BRV,Budget review,Financials,GDD,Accounting,Operating Budgets,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , ENVELOPPE  (Envelope  ) , ENTITE  (Entity  )"
BUDAPP,BOA,Budget approval,Financials,GDD,Accounting,Operating Budgets,"TABCUR  (Currency table  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , ENVELOPPE  (Envelope  ) , PROJET  (Project  )"
BUDTYP,BUT,Budget type,Financials,GDD,Accounting,Operating Budgets,"ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  )"
BUDAPPDET,BAD,Approval detail,Financials,GDD,Accounting,Operating Budgets,"TABCUR  (Currency table  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , ENVELOPPE  (Envelope  ) , PROJET  (Project  )"
BUDFORCAL,BUC,Budget calculation formula,Financials,,Accounting,Budgets,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BUDPAR  (Budget setup  ) , BUDVER  (Budget versions  )"
BUDOD,BDE,Budget misc. operations,Financials,,,,"BUDPAR  (Budget setup  ) , BUDVER  (Budget versions  ) , TABBUDTYP  (Budget transactions  )"
BUDODS,BDO,Budget misc. operations,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  )"
DADFCY,DFC,DAS2 site,Financials,DAS,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  )"
DATEVTAX,DTT,DATEV tax code assignment,Financials,KDE,,,"ATABDIV  (Miscellaneous tables  ) , TABVAT  (Tax code table  )"
BUDPURAUD,BUA,Audit,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , BUDPAR  (Budget setup  )"
DCLEECVATBED,DLEBD,EU VAT statement (detail),Financials,KBE,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  )"
DCLVATPORH,DVPH,VAT declaration,Financials,KPO,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  )"
BUDREVDET,BVD,Review detail,Financials,GDD,Accounting,Operating Budgets,"TABCUR  (Currency table  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , ENVELOPPE  (Envelope  ) , ENTITE  (Entity  )"
BUDVARCAL,BVC,Budget calculation variable,Financials,,Accounting,Budgets,
FILTDS,FTD,File structure DADS-U,Financials,DAS,,,ATABDIV  (Miscellaneous tables  )
BUDVER,BUV,Budget versions,Financials,,,,"BUDPAR  (Budget setup  ) , BUDVER  (Budget versions  )"
GACCENTRY,HAE,Accounting entries,Financials,,Accounting,Accounting Entry,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , GJOURNAL  (Journal codes  ) , GDIAENTRY  (Entry transactions  ) , PIMPL  (  )"
BUILOCSPA,BLS,Building location,Financials,KSP,,,
GACCENTRYD,DAE,Accounting entry lines,Financials,,Accounting,Accounting Entry,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , PJMCOSTCTR  (  )"
CAAUZ,CAZ,Restriction table,Common Data,,,,
GAJOUSTA,JST,Journals - reports per period,Financials,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , GJOURNAL  (Journal codes  )"
GENTLOTD,LOD,General batch entry lines,Financials,,Accounting,Accounting Entry By Lot,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , TABVAT  (Tax code table  ) , CADSP  (Analytical allocations  )"
CACCEDEF,CDE,Default dimensions,Common Data,,,,"COMPANY  (Company  ) , GDIE  (Dimension types  ) , CACCEDEF  (Default dimensions  )"
GJOUCOA,JCO,Journals - chart of account,Financials,,,,"ATABDIV  (Miscellaneous tables  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GJOURNAL  (Journal codes  )"
CADIEDEF,CDI,Default dimension types,Common Data,,,,GDIE  (Dimension types  )
CADISTMP,DTP,Budget weighting codes,Financials,,Accounting,Accounting Data,CADISTMP  (Budget weighting codes  )
CALCDBG,CDG,Calculation,Fixed Assets,,,,
CALIBRAT,CBT,Calibration,Manufacturing,MWM,,,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , CALIGUIDES  (Calibration guides  )"
PBDCONFIG,PBDCNF,Payment balance configuration,Financials,PBDCL,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , GCOA  (Chart of accounts  )"
CALIGUIDES,CGD,Calibration guides,Manufacturing,MWM,,,TABUNIT  (Table of units of measure  )
PBDCONFIGD,PBDCNFD,Payment balance configuration,Financials,PBDCL,,,"ATABDIV  (Miscellaneous tables  ) , PBDECOCOD  (Economic reason code  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  )"
CALLATTEMP,CTT,Call attempt,CRM activities,,,,
PBDECODITM,PBDEIT,Economic reason by product,Financials,PBDCL,,,"ATABDIV  (Miscellaneous tables  ) , PBDECOCOD  (Economic reason code  ) , ITMMASTER  (Products  )"
CAPFLOTMP,CWT,Capital flow,Financials,KPO,,,
PBDGEN,PBDGEN,Payment balance declaration,Financials,PBDCL,,,ATABDIV  (Miscellaneous tables  )
CAPVAR,CPV,Capacity variation,Manufacturing,,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , TABWEEDIA  (Weekly structures  )"
PBDUICONF,PBDUIC,Payment balance field settings,Financials,PBDCL,,,ATABDIV  (Miscellaneous tables  )
PBDUICONFD,PBDUID,Payment balance field lines,Financials,PBDCL,,,ATABDIV  (Miscellaneous tables  )
CARPRICE,CAP,Carrier price lists,Common Data,,Common data,Business Partner,BPCARRIER  (Carriers  )
PRJLOT,PJL,Lot,Financials,GDD,Accounting,Operating Budgets,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , PROJET  (Project  )"
CASHING,CAS,Collections,Fixed Assets,GRT,,,
PRMDADSU,PRM,Extraction parameterization,Financials,DAS,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  )"
CASHPAYSPA,CPS,Cash payments,Financials,KSP,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  )"
REPLINDEF,RLI,Report line definitions,Financials,KDEAT,,,ATABDIV  (Miscellaneous tables  )
CBLOB,CBB,Special folders,Common Data,,,,
CBNDET,CBD,MRP detail,Stock,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , MTOHEAD  (MTO network  ) , TABBOMALT  (BOM codes  )"
CBNHEA,CBH,MRP processing,Stock,,,,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  )"
CBNWRK,CBW,MRP workfile,Stock,,,,"FACILITY  (Sites  ) , ITMFACILIT  (Products-sites  )"
CCMACTION,CCMACT,Actions,Common Data,CCM,,,
CCMAPPROVER,CCMAPPR,Change request approvers,Common Data,CCM,,,
CCMCHGREQ,CCMCR,Change request,Common Data,CCM,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
CCMCRDESC,CCMCRD,Change request description,Common Data,CCM,,,
CCMCRNOTES,CCMCRN,Change request attachments,Common Data,CCM,,,ATYPEPRO  (Content type  )
CCMCRORIGC,CCMCROC,Customer originators,Common Data,CCM,,,"CONTACTCRM  (Contact relationships  ) , BPCUSTOMER  (Customers  )"
CCMCRORIGE,CCMCROE,External originators,Common Data,CCM,,,CONTACTCRM  (Contact relationships  )
TABBUDTYP,TBU,Budget transactions,Financials,,,,"ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  )"
CCMCRORIGI,CCMCROI,Internal originators,Common Data,CCM,,,
TABFILTDS,TFT,Fee declaration file,Financials,FEE2,,,ATABDIV  (Miscellaneous tables  )
CCMCRORIGS,CCMCROS,Supplier originators,Common Data,CCM,,,"CONTACTCRM  (Contact relationships  ) , BPSUPPLIER  (Suppliers  )"
CCMIMPBOD,CCMIBOD,Impact analysis-BOM lines,Common Data,CCM,,,"TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  )"
CCMIMPBOH,CCMIBOH,Impact analysis-BOMs,Common Data,CCM,,,
CCMIMPFOD,CCMIFOD,Impact analysis-Forecasts,Common Data,CCM,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
CCMIMPFOH,CCMIFOH,Impact analysis-Forecasts,Common Data,CCM,,,
CCMIMPITM,CCMIITM,Impact analysis-Stock,Common Data,CCM,,,
CCMIMPITMDET,CCMITMD,Impact analysis-Stock sites,Common Data,CCM,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
CCMIMPMFGD,CCMMFGD,Impact analysis-Work orders,Common Data,CCM,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  ) , MFGHEAD  (Work order - header  )"
CFODUDDATE,CFODD,Cash forecast management,A/P-A/R accounting,CFOM,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GTYPACCENT  (Document types  ) , TABPAM  (Payment mode table  )"
CCMIMPMFGH,CCMMFGH,Impact analysis-Work orders,Common Data,CCM,,,
CFOMANMVT,CFOMM,Cash forecast movements,A/P-A/R accounting,CFOM,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , TABPAYTERM  (Payment term table  ) , TABPAM  (Payment mode table  )"
CCMIMPPOD,CCMIPOD,Impact analysis-Purchases,Common Data,CCM,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , ITMMASTER  (Products  ) , PORDER  (POs  )"
EDITRBK,EBK,Banking reconciliation report,A/P-A/R accounting,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , BANK  (Bank accounts  )"
CCMIMPPOH,CCMIPOH,Impact analysis-Purchases,Common Data,CCM,,,TABCUR  (Currency table  )
RELBANK,RBK,Bank account statement,A/P-A/R accounting,,Accounting,Payment,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , BANK  (Bank accounts  )"
CCMIMPPRD,CCMIPRD,Impact analysis-Purchase req,Common Data,CCM,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , ITMMASTER  (Products  ) , PREQUIS  (Purchase requests  )"
SWIIMPBVR,SWIIMP,Import Swiss ISR file,A/P-A/R accounting,KSW,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , SINVOICEV  (Costing sales invoice  )"
CCMIMPPRH,CCMIPRH,Impact analysis-Purchase req,Supervisor,CCM,,,TABCUR  (Currency table  )
TABFILBAN,TFB,Bank file definitions,A/P-A/R accounting,,Accounting,Payment,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , BANK  (Bank accounts  )"
CCMIMPROD,CCMROD,Impact analysis-Routing lines,Common Data,CCM,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  ) , TABROUALT  (BOM routings  )"
CCMIMPROH,CCMROH,Impact analysis-Routing,Common Data,CCM,,,
CCMIMPSCD,CCMSCD,Impact analysis-Subcontract,Common Data,CCM,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , ITMMASTER  (Products  ) , SCOHEAD  (Subcontract order  )"
CCMIMPSCH,CCMSCH,Impact analysis-Subcontract,Common Data,CCM,,,TABCUR  (Currency table  )
CCMIMPSOD,CCMSOD,Impact analysis-Sales orders,Common Data,CCM,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , ITMMASTER  (Products  ) , SORDER  (Sales orders - header  ) , BPCUSTOMER  (Customers  )"
CCMIMPSOH,CCMSOH,Impact analysis-Sales orders,Common Data,CCM,,,TABCUR  (Currency table  )
SBODLINK,SBK,Component qty. calculation (link),Sales,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , TABPACKAGE  (Packaging table  ) , ITMSALES  (Products - sales  )"
CCMIMPSQD,CCMISQD,Impact analysis-Sales quotes,Common Data,CCM,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , ITMMASTER  (Products  ) , BPCUSTOMER  (Customers  )"
SDELIVERYD,SDD,Delivery detail,Sales,,"Purchasing,Sales","Purchase Receipts,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , SALESREP  (Sales rep  ) , TABPACKAGE  (Packaging table  ) , BPDLVCUST  (Ship-to customer  ) , STOLOC  (Locations  ) , BPCUSTOMER  (Customers  ) , SPREASON  (Sales price list reasons  ) , TABVACITM  (Tax level table  )"
CCMIMPSQH,CCMISQH,Impact analysis-Sales quotes,Common Data,CCM,,,TABCUR  (Currency table  )
SINVOICED,SID,Sales invoice detail,Sales,,"Accounting,Sales","Payment,Normal Sales Orders,Sales Invoice,Sales Returns","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , SALESREP  (Sales rep  ) , STOLOC  (Locations  ) , BPCUSTOMER  (Customers  ) , SPREASON  (Sales price list reasons  ) , TABVACITM  (Tax level table  ) , PJMSOLITMH  (  ) , SERREQUEST  (Service requests  )"
CCMPLAND,CCMPD,Change request plan detail,Common Data,CCM,,,
SORDERC,SOC,Sales orders - early / late,Sales,,Sales,Cumulative Sales Orders,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  ) , BPCUSTOMER  (Customers  ) , TABVACITM  (Tax level table  ) , SPRICCONF  (Customer pricing parameters  )"
CCMPLANH,CCMPH,Change request plan header,Common Data,CCM,,,
SORDERP,SOP,Sales orders - price,Sales,,Sales,"Quotation,Normal Sales Orders,Cumulative Sales Orders","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , ITMMASTER  (Products  ) , PREPINVOICE  (  ) , SALESREP  (Sales rep  ) , BPDLVCUST  (Ship-to customer  ) , BPCUSTOMER  (Customers  ) , SPREASON  (Sales price list reasons  ) , TABVACITM  (Tax level table  ) , TABINVCND  (  )"
CCMREJDSC,CCMREJ,Rejection description,Common Data,CCM,,,
SORDERQ,SOQ,Sales orders - quantities,Sales,,Sales,"Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PJMPRGBILH  (  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , TABPACKAGE  (Packaging table  ) , BPDLVCUST  (Ship-to customer  ) , STOLOC  (Locations  ) , BPCUSTOMER  (Customers  ) , PJMSOLITMH  (  )"
CCMVCREXC,CVE,CCM documents exceptions,Common Data,CCM,,,
SQUOTED,SQD,Quote detail,Sales,,Sales,"Quotation,Normal Sales Orders","ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , SALESREP  (Sales rep  ) , BPCUSTOMER  (Customers  ) , SPREASON  (Sales price list reasons  ) , TABVACITM  (Tax level table  ) , PJMSOLITMH  (  )"
CCNCOE,COE,Update coefficients,Fixed Assets,CCN,,,
SRETURND,SRD,Sales return detail,Sales,,Sales,"Sales Invoice,Sales Returns","ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  )"
